adm0_name,adm1_name,mkt_name,cm_name,cur_name,pt_name,um_name,mp_month,mp_year,mp_price,mp_commoditysource
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,3,2010,15.15,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,4,2010,15.19,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,5,2010,14.12,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,6,2010,13.04,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,7,2010,14.81,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,8,2010,17.19,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,9,2010,18.14,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,10,2010,18.15,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,11,2010,17.38,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,12,2010,19.22,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,1,2011,19.14,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,2,2011,18.75,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,3,2011,18.72,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,4,2011,19.75,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,5,2011,19.29,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,6,2011,19.13,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,7,2011,19.99,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,8,2011,19.92,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,9,2011,19.55,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,10,2011,17.2,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,11,2011,16.58,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,12,2011,17.18,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,1,2012,17.62,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,2,2012,15.64,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,3,2012,15.29,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,4,2012,14.81,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,5,2012,15.58,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,6,2012,15.65,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,7,2012,15.12,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,8,2012,15.05,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,9,2012,16.74,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,10,2012,17.83,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,11,2012,17.68,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,12,2012,16.36,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,6,2013,14.74,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,7,2013,15.82,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,8,2013,16.42,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,9,2013,18.18,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,10,2013,17.87,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,11,2013,17.18,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,1,2014,18.29,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,2,2014,17.52,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,3,2014,17.37,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,4,2014,16.81,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,5,2014,16.18,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,9,2014,18.25,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,10,2014,17.63,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,11,2014,16.73,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,12,2014,16.83,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,1,2015,17.22,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,2,2015,17.52,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,3,2015,17.29,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,4,2015,16.25,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,5,2015,15.25,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,6,2015,15.58,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,7,2015,15.04,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,8,2015,14.88,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,9,2015,15.08,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,10,2015,16.5,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,11,2015,15.19,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,12,2015,15.95,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,1,2016,15.98,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,2,2016,17.83,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,3,2016,17.29,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,4,2016,15.16,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,5,2016,15.62,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,6,2016,15.38,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,7,2016,16.08,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,8,2016,16.54,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,9,2016,16.85,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,10,2016,16.96,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,12,2016,16.08,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,1,2017,17.0,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,2,2017,17.38,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,3,2017,17.08,INE
Bolivia,Chuquisaca,Sucre,"Meat (chicken, whole)",BOB,Retail,KG,4,2017,14.46,INE
